CrsId,ARCCode,CREDIT TYPE CDE,TRANS YR,TRANS TRM 
658,ELE00,TR,TR  ,TR
659,ELE00,TR,TR  ,TR
660,ELE00,TR,TR  ,TR
661,ELE00,TR,TR  ,TR
662,ELE00,TR,TR  ,TR
663,ELE00,TR,TR  ,TR
664,ELE00,TR,TR  ,TR
665,ELE00,TR,TR  ,TR
666,ELE00,TR,TR  ,TR
667,ELE00,TR,TR  ,TR
668,ELE00,TR,TR  ,TR
669,ELE00,TR,TR  ,TR
670,ELE00,TR,TR  ,TR
671,ELE00,TR,TR  ,TR
672,ELE00,TR,TR  ,TR
673,ELE00,TR,TR  ,TR
674,ELE00,TR,TR  ,TR
675,ELE00,TR,TR  ,TR
676,ELE00,TR,TR  ,TR
677,ELE00,TR,TR  ,TR
678,ELE00,TR,TR  ,TR
679,ELE00,TR,TR  ,TR
680,ELE00,TR,TR  ,TR
681,ELE00,TR,TR  ,TR
682,ELE00,TR,TR  ,TR
683,ELE00,TR,TR  ,TR
684,ELE00,TR,TR  ,TR
685,ELE00,TR,TR  ,TR
686,ELE00,TR,TR  ,TR
687,ELE00,TR,TR  ,TR
688,ELE00,TR,TR  ,TR
689,ELE00,TR,TR  ,TR
690,ELE00,TR,TR  ,TR
691,ELE00,TR,TR  ,TR
692,ELE00,TR,TR  ,TR
693,ELE00,TR,TR  ,TR
694,ELE00,TR,TR  ,TR
695,ELE00,TR,TR  ,TR
696,ELE00,TR,TR  ,TR
697,ELE00,TR,TR  ,TR
698,ELE00,TR,TR  ,TR
699,ELE00,TR,TR  ,TR
700,ELE00,TR,TR  ,TR
701,ELE00,TR,TR  ,TR
702,ELE00,TR,TR  ,TR
703,ELE00,TR,TR  ,TR
704,ELE00,TR,TR  ,TR
705,ELE00,TR,TR  ,TR
706,ELE00,TR,TR  ,TR
707,ELE00,TR,TR  ,TR
708,ELE00,TR,TR  ,TR
709,ELE00,TR,0,TR
710,ELE00,TR,0,TR
711,ELE00,TR,0,TR
712,ELE00,TR,0,TR
713,ELE00,TR,0,TR
714,ELE00,TR,0,TR
715,ELE00,TR,0,TR
716,SED395,TR,TR  ,TR
717,SED390,TR,TR  ,TR
718,ELE00,TR,0,TR
719,ENG101,TR,TR  ,TR
720,ENG101,TR,TR  ,TR
721,ELE00,TR,0,TR
722,ELE00,TR,0,TR
723,ELE00,TR,0,TR
724,ELE00,TR,0,TR
725,PSY100,TR,TR  ,TR
726,PSY100,TR,TR  ,TR
727,ELE00,TR,0,TR
728,SOC100,TR,TR  ,TR
729,ELE00,TR,0,TR
730,SPN101,TR,TR  ,TR
731,ART111,AP,TR  ,TR
732,ART111,AP,TR  ,TR
733,ART111,AP,TR  ,TR
734,ART111,AP,TR  ,TR
735,ART111,AP,TR  ,TR
736,ART111,AP,TR  ,TR
737,ART112,AP,TR  ,TR
738,ART112,AP,TR  ,TR
739,ART112,AP,TR  ,TR
740,ART112,AP,TR  ,TR
741,POL101,AP,TR  ,TR
742,ELE00,AP,TR  ,TR
743,ART111,AP,TR  ,TR
744,ELE00,AP,TR  ,TR
745,ELE00,TR,0,TR
746,ELE00,TR,0,TR
747,ELE00,TR,0,TR
748,ELE00,TR,0,TR
749,ELE00,TR,0,TR
750,ELE00,TR,0,TR
751,ELE00,TR,0,TR
752,ELE00,TR,0,TR
753,ELE00,TR,0,TR
754,ELE00,TR,0,TR
755,ELE00,TR,0,TR
756,ELE00,TR,0,TR
757,ELE00,TR,0,TR
758,ELE00,TR,0,TR
759,ELE00,TR,0,TR
760,ELE00,TR,0,TR
761,ELE00,TR,0,TR
762,ELE00,TR,0,TR
763,ELE00,TR,0,TR
764,ELE00,TR,0,TR
765,ART201,AP,0,TR
766,ELE00,TR,0,TR
767,ART202,AP,0,TR
768,ELE00,TR,0,TR
769,ART111,AP,TR  ,TR
770,ART111,TR,TR  ,TR
771,ART113,AP,TR  ,TR
772,ART111,AP,TR  ,TR
773,ART111,TR,TR  ,TR
774,ART201,AP,TR  ,TR
775,ART201,AP,TR  ,TR
776,ART202,AP,TR  ,TR
777,ART202,AP,TR  ,TR
778,ART111,AP,TR  ,TR
779,ART111,AP,TR  ,TR
780,ART111,AP,TR  ,TR
781,ART111,AP,TR  ,TR
782,ART111,AP,TR  ,TR
783,ART111,AP,TR  ,TR
784,ART111,AP,TR  ,TR
785,ART111,AP,TR  ,TR
786,ART111,AP,TR  ,TR
787,ART112,AP,TR  ,TR
788,ART112,AP,TR  ,TR
789,ELE00,AP,TR  ,TR
790,ELE00,AP,TR  ,TR
791,ART201,AP,TR  ,TR
792,ART202,AP,TR  ,TR
793,ART201,AP,TR  ,TR
794,ART202,AP,TR  ,TR
795,ELE00,AP,TR  ,TR
796,ART113,AP,TR  ,TR
797,ELE00,AP,TR  ,TR
798,ART113,AP,TR  ,TR
799,ART113,AP,TR  ,TR
800,ELE00,AP,TR  ,TR
801,ELE00,AP,TR  ,TR
802,ELE00,AP,TR  ,TR
803,ART00,AP,TR  ,TR
804,ART001,AP,TR  ,TR
805,ELE00,AP,TR  ,TR
806,ELE00,AP,TR  ,TR
807,ART001,AP,TR  ,TR
