"CrsID","ARCCode","TYear","TTerm","CreditType"
778,"CHM190","TR","TR","TR"
779,"THR120","TR","TR","TR"
780,"ENG101","TR","TR","TR"
781,"ENG102","TR","TR","TR"
782,"GEP3A","TR","TR","TR"
783,"GEP1E","TR","TR","TR"
784,"MTH110","TR","TR","TR"
785,"ELE00","TR","TR","TR"
786,"SOC100","TR","TR","TR"
787,"Elective credit only","0000","TR","TR"
788,"SPN101","TR","TR","TR"
789,"Elective credit only","0000","TR","TR"
790,"BIO100","TR","TR","TR"
791,"Elective credit only","0000","TR","TR"
792,"Elective credit only","0000","TR","TR"
793,"Elective credit only","0000","TR","TR"
794,"Elective credit only","0000","TR","TR"
795,"Elective credit only","0000","TR","TR"
796,"Elective credit only","0000","TR","TR"
797,"Elective credit only","0000","TR","TR"
798,"Elective credit only","0000","TR","TR"
799,"Elective credit only","0000","TR","TR"
800,"Elective credit only","0000","TR","TR"
801,"ART113","TR","TR","TR"
802,"ART111","TR","TR","TR"
803,"Elective credit only","TR","TR","TR"
804,"Elective credit only","TR","TR","TR"
805,"THR120","TR","TR","TR"
806,"ENG101","TR","TR","TR"
807,"ENG102","TR","TR","TR"
808,"ELE00","TR","TR","TR"
809,"Elective credit only","0000","TR","TR"
810,"Elective credit only","0000","TR","TR"
811,"ART201","TR","TR","TR"
812,"ART201","TR","TR","TR"
813,"ART305","TR","TR","TR"
814,"ELE00","TR","TR","TR"
815,"ELE00","TR","TR","TR"
816,"ELE00","TR","TR","TR"
817,"ELE00","TR","TR","TR"
818,"ELE00","TR","TR","TR"
819,"MTH108","TR","TR","TR"
820,"Elective credit only","0000","TR","TR"
821,"Elective credit only","0000","TR","TR"
822,"Elective credit only","0000","TR","TR"
823,"ELE00","TR","TR","TR"
824,"PSY100","0000","TR","TR"
826,"ART113","TR","TR","TR"
827,"Elective credit only","TR","TR","TR"
828,"THR120","TR","TR","TR"
829,"Elective credit only","TR","TR","TR"
830,"Elective credit only","TR","TR","TR"
831,"DES286","TR","TR","TR"
832,"Elective credit only","TR","TR","TR"
833,"Elective credit only","0000","TR","TR"
834,"ART112","0000","TR","TR"
835,"Elective credit only","0000","TR","TR"
836,"Elective credit only","0000","TR","TR"
838,"ART113","TR","TR","TR"
839,"Elective credit only","0000","TR","TR"
841,"THR120","0000","TR","TR"
843,"Elective credit only","0000","TR","TR"
844,"ENG101","TR","TR","TR"
845,"ART201","TR","TR","TR"
846,"GEP3A","TR","TR","TR"
847,"Elective credit only","0000","TR","TR"
848,"Elective credit only","0000","TR","TR"
849,"Elective credit only","0000","TR","TR"
851,"ELE00","TR","TR","TR"
852,"DES282","TR","TR","TR"
853,"MTH108","0000","TR","TR"
854,"ELE00","TR","TR","TR"
856,"Elective credit only","0000","TR","TR"
857,"Elective credit only","0000","TR","TR"
858,"Elective credit only","0000","TR","TR"
