CrsId,ArcCode,CreditType,TYear,TTerm
874,,TR,0,TR
875,,TR,0,TR
876,,TR,0,TR
877,MUT103,TR,TR,TR
878,MUT441,TR,TR,TR
879,MUT113,TR,TR,TR
880,,TR,0,TR
881,,TR,0,TR
882,MTH108,TR,TR,TR
883,,TR,0,TR
884,,TR,0,TR
885,,TR,0,TR
886,ART100,TR,TR,TR
887,AST100,TR,TR,TR
888,THR120,TR,TR,TR
889,ENG101,TR,TR,TR
890,ENG102,TR,TR,TR
891,GEP3,TR,TR,TR
892,GEP1E,TR,TR,TR
893,ELE00,TR,TR,TR
894,MUH110,TR,TR,TR
895,BIO110,TR,TR,TR
896,HPE255,TR,TR,TR
897,PSY100,TR,TR,TR
898,SOC100,TR,TR,TR
899,,TR,0,TR
900,,TR,0,TR
901,,TR,0,TR
902,,TR,0,TR
903,ACC211,TR,TR,TR
904,ACC212,TR,TR,TR
905,CSC208,TR,TR,TR
906,ELE00,TR,TR,TR
907,ECN300,TR,TR,TR
908,GEP3A,TR,TR,TR
909,ECN202,TR,TR,TR
910,ECN201,TR,TR,TR
911,ELE00,TR,TR,TR
912,GEP1E,TR,TR,TR
913,GEP1E,TR,TR,TR
914,MTH108,TR,TR,TR
915,PHI200,TR,TR,TR
916,,TR,TR,TR
917,GEP2,TR,TR,TR
918,BIO100,TR,TR,TR
919,THR120,TR,TR,TR
920,THR100,TR,TR,TR
921,GEP3A,TR,TR,TR
922,THR110,TR,TR,TR
923,THR115,TR,TR,TR
924,THR215,TR,TR,TR
925,ELE00,TR,TR,TR
926,THR205,TR,TR,TR
927,ELE00,TR,TR,TR
928,ELE00,TR,TR,TR
929,THR204,TR,TR,TR
930,ELE00,TR,TR,TR
931,ENG101,TR,TR,TR
932,ENG102,TR,TR,TR
933,ENG201,TR,TR,TR
934,ENG101,TR,TR,TR
935,ELE00,TR,TR,TR
936,ELE00,TR,TR,TR
937,GEP3B,TR,TR,TR
938,GEP3N,TR,TR,TR
939,MTH105,TR,TR,TR
940,ELE00,TR,TR,TR
941,PSY100,TR,TR,TR
942,SPN101,TR,TR,TR
943,SPN102,TR,TR,TR
944,SPN201,TR,TR,TR
945,SPN202,TR,TR,TR
946,,TR,0,TR
947,ART100,TR,TR,TR
948,PHY143,TR,TR,TR
949,,TR,0,TR
950,BIO191,TR,TR,TR
951,BIO205,TR,TR,TR
952,BIO100,TR,TR,TR
953,,TR,TR,TR
954,,TR,TR,TR
955,CHM150,TR,TR,TR
956,CSC101,TR,TR,TR
957,THR120,TR,TR,TR
958,,TR,0,TR
959,,TR,0,TR
960,ENG101,TR,TR,TR
961,ENG102,TR,TR,TR
962,,TR,TR,TR
963,ENG203,TR,TR,TR
964,ENG203,TR,TR,TR
965,ENG204,TR,TR,TR
966,,TR,TR,TR
967,,TR,0,TR
968,,TR,TR,TR
969,FRN101,TR,TR,TR
970,FRN102,TR,TR,TR
971,,TR,0,TR
972,GEP1E,TR,TR,TR
973,GEP3N,TR,TR,TR
974,GEP1E,TR,TR,TR
975,HST110,TR,TR,TR
976,GEP1F,TR,TR,TR
977,MTH113,TR,TR,TR
978,MTH105,TR,TR,TR
979,MTH115,TR,TR,TR
980,,TR,TR,TR
981,,TR,0,TR
982,,TR,0,TR
983,,TR,0,TR
984,,TR,0,TR
985,,TR,0,TR
986,,TR,0,TR
987,,TR,0,TR
988,,TR,0,TR
989,,TR,0,TR
990,,TR,0,TR
991,MUH110,TR,TR,TR
992,,TR,0,TR
993,HPE255,TR,TR,TR
994,HPE153,TR,TR,TR
995,PHI200,TR,TR,TR
996,PHI180,TR,TR,TR
997,ELE00,TR,TR,TR
998,PS101,TR,TR,TR
999,PSY100,TR,TR,TR
1000,PSY380,TR,TR,TR
1001,PSY204,TR,TR,TR
1002,REL104,TR,TR,TR
1003,ELE00,TR,TR,TR
1004,REL205,TR,TR,TR
1005,REL206,TR,TR,TR
1006,,TR,0,TR
1007,SOC100,TR,TR,TR
1008,SPN101,TR,TR,TR
1009,,TR,0,TR
1010,,TR,0,TR
1011,,TR,0,TR
1012,,TR,0,TR
1013,,TR,0,TR
1014,,TR,0,TR
1015,,TR,0,TR
1016,,TR,0,TR
1017,ACC211,TR,TR,TR
1018,,TR,0,TR
1019,,TR,0,TR
1020,,TR,0,TR
1021,ELE00,TR,TR,TR
1022,ELE00,TR,TR,TR
